"and what do we have to do is that we have to be able to be able to be able to do it ? </s> . </s> .
","sie wollten wissen : ist die struktur oder anatomie ihrer gehirne anders als die beim rest von uns ?
",27,18
"and he said , "" well , and he said , "" </s> .
","eifersucht macht uns alle zu , und damit kannte sich aus .
",13,11
"it 's a <unk> , and it 's a <unk> . </s> .
","diese art bücher sind für virginia so wie .
",12,8
"and i 'm going to talk about it , and i 'm going to be able to be able to do it .
","davon gibt es ausnahmen und ich werde die vor jedem von ihnen verteidigen .
",22,13
"how do you do you do you do you do you do it ?
","warum ? und können wir anderen daraus etwas lernen ?
",13,9
"and i 'm going to talk about how to be able to be able to be able to be able to be able to be able to be able to be able to the <unk> . </s> . </s> .
","die person , die sich die person namens bäcker merken sollte , erinnert sich mit wahrscheinlichkeit an das wort als die person , die sich die person mit dem merken sollte .
",39,31
"thank you .
","danke vielmals .
",2,2
"and i do n't know , but i do n't know .
","die erwachsenen glaubten nicht , dass es mir ernst damit war .
",11,11
"so we 're trying to make a few minutes .
","ich musste anders sehen , um die vergangenheit in einer karte zu können .
",9,13
"i 'm going to do it .
","ich habe mir vorgestellt , wie das aussehen würde .
",6,9
"and i wanted to do it , and i wanted to do it , and i wanted to do it to do it .
","eine weitere seiner taktiken war , eine vor meiner nase zu lassen , damit ich sie fange .
",23,17
"it 's a <unk> , and it 's a <unk> , and it 's called <unk> , which is a <unk> .
","armstrong und waren allein , aber ihre gegenwart auf der grauen mondoberfläche war der höhepunkt eines , gemeinschaftlichen .
",21,18
"i do n't know .
","ich habe zerebralparese !
",4,3
"now , we 're going to see the <unk> .
","wo sich der lauf des früher befand .
",9,7
"and i 'm going to tell you that i 'm going to talk about three minutes .
","ebenso liebe ich die tatsache , dass ich von meinem haus nach new york city laufen könnte , wenn ich wollte .
",16,21
"it 's a <unk> , and it 's going to be able to be able to be used . </s> .
","in all diesen unterschiedlichen kontexten trat eine eigenschaft als bedeutender hinweis auf erfolg hervor .
",20,14
"do you know , ""
",""" , ist die ? ""
",4,5
"and we do n't know that we do n't know , but we do n't know , but we do n't know , we do n't do n't know , but we do n't know .
","erzählen uns selbst geschichten über das leben der anderen leute und sie machen , dass es uns schlecht geht , weil sie so konzipiert sind , dass es uns schlecht geht .
",35,31
"it 's a little .
","das sind nur tricks .
",4,4
"they 're going to be <unk> .
","es gibt keine öffentlichen parks in .
",6,6
"and i do n't know , i do n't know , but i do n't know , but i do n't know , but i 'm going to be a <unk> ?
","ich glaube , es gab diesen moment mit dem ersten kuss , als ich wirklich erwartet hatte , dass der anfängt , denn so endet ein film , oder ?
",31,29
"now , we 've been able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be . </s> .
","aber in unseren bemühungen , die art zu ändern , wie wir auf diesem planet als spezies existieren , müssen wir auch all die kosten beachten , inklusive der sehr menschlichen kosten der arbeit .
",46,34
"you can do it .
","ein mensch .
",4,2
"and i 'm going to do that i 'm going to make a <unk> .
","also verließ ich das klassenzimmer und machte ein aufbaustudium zur .
",14,10
"now , you have to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able
","wenn vieles auf die 30er übertragen worden ist , gibt es da einen enormen druck , in den 30ern schnell eine karriere zu starten , eine stadt auszuwählen , einen partner und zwei oder drei kinder zu haben in einer viel kürzeren zeitspanne .
",48,43
"we do n't do n't be able to be able to be able to be able to be able to be . </s> . </s> .
","letztlich werden großen problemen manchmal die lösungen , weil wir das problem nicht richtig verstehen .
",25,15
"and i do n't know , i do n't know that i do n't know , but i do n't want to do .
","nur meine freunde unterstützten mich , aber sie waren auch nur kinder , genauso machtlos wie ich selbst .
",23,18
"and i 'm going to do something that i 'm going to be able to be able to be able to be able to be able to be able to be able to be able to be able to do . </s>
","in den letzten jahren habe ich mich gefragt , wie ich diese mauer einreißen kann , damit jeder , der interesse an dieser komplexen sprache hat , diese auch verstehen und schätzen lernt .
",41,33
"so , we 're trying to do , and we 're trying to be able to be able to be able to be able to be able to be able to be able to the brain .
","diese sicht erhält man durch ein auf dem kopf oder display , wenn das system die geometrie unseres körpers versteht .
",36,20
"and i do n't know that you do n't have to be able to be able to be able to be able to be . </s> .
","wenn wir ein leben leben wollen , müssen wir die person sein , die nicht vergisst zu erinnern .
",26,18
"and then you want to do it , and you want to do it .
","sie sich ab , schwitzen und direkt auf dich zu .
",14,10
"we do n't have to be able to be able to be . </s> . </s> .
","manchmal entscheiden wir bewusst , nicht die großen probleme zu beheben .
",16,11
"it 's not just a lot of <unk> , but it 's a lot .
","zunächst eine behauptung : vertrauen ist stark im rückgang , glauben viele .
",14,12
"and i 'm going to talk about what i 'm going to do is going to do is going to do .
","sie haben die eigenschaften einer fraktalen geometrie und das half mir , die gesamte fassade zu gestalten .
",21,17
"and it 's a very simple , and it 's a lot .
","ebenso wie primaten . sind von natur aus sehr anfällig dafür .
",12,11
"it 's a <unk> . it 's a <unk> .
","er ist auch wie eine art der atmung oder .
",9,9
"and then , "" </s> . ""
","aber "" der zauberer von oz "" war anders .
",6,9
"and you can see that you can be able to be able to be able to be able to be able to be able to be able to be able to be able to be able . </s> ? </s> ?
","genau nach dem start kann ein kleiner den unterschied machen , ob man in alaska oder in fidschi landet .
",40,19
"and i 'm going to do , and i 'm going to be able to go to get to get to get a little bit of the <unk> .
","dann kann man durch dieses buch blättern und dabei zeilen und wörter markieren . all dies auf dem virtuellen unterhalb jedes fensters .
",28,22
"and i do n't know , i do n't know , but i do n't know , but i do n't know , but i do n't know , you know . </s> .
","einige meiner freunde sind kompetent und ehrlich , ich würde sie aber keinen brief lassen , denn sie sind .
",33,19
"and he said , "" well , he said , he said , and he said , and he said , and he said , and he said , </s> .
","alle liefen umher und hatten spaß , aber dann mit 30 ging die musik plötzlich aus und jeder fing an , sich hinzusetzen .
",30,23
"it 's a little bit like , and it 's a little bit like "" <unk> , "" it 's a <unk> . ""
","er sagt : "" sie denken vielleicht , dass das ist , aber es ist auch nichts anderes , einen antiken text zu interpretieren oder sich ein denkmal anzuschauen . ""
",23,30
"now , this is the <unk> of <unk> . </s> .
","wir wissen , japan ist das land der sonne .
",10,9
"i do n't know , but i do n't know that i do n't know .
","aber wäre ich mit sozialen medien aufgewachsen , wäre ich vielleicht nicht hier .
",15,13
"this is what you 're doing .
","und dann ist da das stigma .
",6,6
"and we 're going to talk about what we 're going to do is that we 're going to do is that we 're going to do is . </s> .
","heute haben wir angefangen , indem wir über die grenzen sprachen , aber wenn wir diese grenze entfernen , ist die einzige grenze unsere vorstellungskraft .
",30,25
"and we 're going to do that , and we 're going to be able to do , and we 're going to do that we 're going to be able to build the <unk> .
","er half mir , den einiger junger leute , die am gipfel teilnahmen , auszubilden und ihnen zu zeigen , wie man innovativ ist und unternehmertum entwickelt .
",35,27
"i do n't do it .
","mögen bücher immer mit ihnen sein .
",5,6
"it 's a <unk> .
","diese acht schriftzeichen sind radikale .
",4,5
"i 'm a good .
","mein traum wurde wahr .
",4,4
"and i 'm going to talk about it , and i 'm going to be able to be able to be able to be able to be able to be able to make it . </s> . </s> .
","mit den lustigen geschichten , die alex mit in die sitzung brachte , war es leicht für mich , einfach mit dem kopf zu , während wir die probleme vor uns .
",38,31
"and i do n't know that i do n't know that i do n't know , but i do n't know , i do n't know , i do n't know , i do n't know , i do n't know , </s>
","so könnte ich etwa sagen , dass ich einer bestimmten mir bekannten dahingehend vertraue , der ersten klasse das lesen beizubringen , doch würde ich sie nicht den schulbus fahren lassen .
",42,31
"we 're going to be able to be able to be able . </s> . </s> .
","eine behinderung ist so sichtbar wie die herkunft .
",16,8
"and he said , "" well , he said , he said , he said he said , he said , he said , he said , he said , </s>
","das abheben der apollo 17 sah und meine mutter mich warnte , nicht zu sehr in den der zu schauen .
",30,20
"they 're going to do that they 're going to help .
","diese leute müssen fähigkeiten haben .
",11,5
"and i 'm going to talk about this is that i 'm going to talk about the <unk> , which is called <unk> .
","soweit die beste idee , die ich bezüglich des aufbaus von durchhaltevermögen gehört habe , ist die sogenannte einstellung .
",23,19
"and they 're going to do that they 're going to do n't know , they 're going to do .
","wir versuchten vorauszusagen , welche bei der bleiben würden und welche nicht .
",20,12
"and i 'm going to talk about the <unk> , which is a <unk> .
","technologie schien etwas an sich zu haben , was alvin 1970 einen "" "" nannte .
",14,15
"you do n't do n't do it . </s> .
","sie ist kein . man kann sie nicht kriegen .
",9,9
"can we have a different way ?
","wie würde eine solche zukunft aussehen ?
",6,6
"and i do n't know , i do n't know , but i do n't know what i do is .
","geschichte klingt so , als wäre alles einfach . aber das ist es , was ich an liebe .
",20,18
"thank you .
","vielen dank .
",2,2
"i do n't know what i 'm going to do . </s> .
","es ist so einfach , wie das , was ich zu alex sagte .
",12,13
"i do n't know that i do n't want to do n't know .
","ich verstehe auch nicht , warum ich nie dafür bestraft wurde .
",13,11
"and i do n't want to be able to be able to be able to be able to be able to do it . </s> .
","und wenn du dann britney siehst , erinnerst du dich an eine lustige anekdote , die du erzählen wolltest .
",25,19
"and they 're going to be able to be able to be able to be able to be able to do it . </s> . </s> .
","das liegt natürlich daran , dass man normalerweise nicht alle leute zugleich an der nase kann .
",26,16
"and we 're going to do this .
","wir kamen zu unserem .
",7,4
"and they 're going to do that they 're going to do , and they 're going to go back to go back to go back to the children .
","wir gingen zum nationalen und versuchten vorauszusagen , welche kinder am weitesten kommen würden .
",29,14
"how do you do it , how do you do you do it , how do you do it ?
","und geht es in ihrer unterhaltung um etwas anderes , als um den kerl , den sie beiden mögen ?
",19,19
"they do n't have to do it .
","es gab keine arbeit und keine möglichkeiten .
",7,7
"you can be able to be able to make a <unk> .
","du kannst fast spüren , wie sein blaues fell deine nase kitzelt .
",11,12
"he said , "" he said , "" he said , "" he said , "" <unk> , "" <unk> , "" <unk> , "" <unk> , "" </s> . ""
","da ziehen die der dahin , denn wir verlieren : "" schall und "" , den großen "" "" , "" "" , "" "" , "" anna "" .
",30,29
"and i think that you do n't have to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be <unk> . </s> .
","dr. hat gezeigt , dass kinder , wenn sie über das gehirn lesen und lernen , wie es sich als antwort auf herausforderungen verändert und wächst , bei versagen sehr viel wahrscheinlicher durchhalten , weil sie nicht glauben , dass versagen ein zustand ist .
",43,44
"and what is that we 're doing is that we 're trying to be able to be able to be able to be able to be able to be able to be able to be able to be able to make it ? </s> </s>
","so wissen wir aus unserem alltag , wie unterschiedlich vertrauen aussehen kann . doch wieso wir dieses wissen aus , wenn wir abstrakter über vertrauen nachdenken ?
",44,26
"and then you have to be able to be able to be able to be able to be able to be able to be able to be able to be able to use it .
","du möchtest eben immer besser und besser darin werden , diese verrückten , farbenfrohen , dreckigen , lustigen und hoffentlich bilder vor deinem inneren auge zu erträumen .
",34,27
"now , we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be <unk> .
","da wurde mir klar , dass diese art von ein ernsthaftes problem mit realen konsequenzen war . nich nur für alex und ihr , sondern für die karrieren , familien und aussichten aller leute in den 20ern .
",47,37
"and we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to help them . </s> .
","dies sind die beiden charaktere im film , die mehr wissen als alle anderen und ihr wissen liebend gerne mit anderen menschen teilen , um ihnen dabei zu helfen , ihr potenzial voll auszuschöpfen .
",39,34
"and this is a very simple idea of the <unk> , which is a new kind of <unk> .
","zu jener zeit war das stärkste gefühl ein gefühl des über die kräfte von technologie .
",18,15
"and i do n't know that you do n't have a little bit of a little bit like a little bit like a little bit like a little bit like a little bit of a <unk> .
","er war für die unterhaltung zuständig , denn damals , wenn man eine wirklich große party schmeißen wollte , engagierte man keinen , sondern einen dichter .
",36,26
"i 'm going to talk about <unk> . ""
","wir leben in einer "" "" zeit .
",8,7
"thank you .
","vielen dank .
",2,2
"so what can we have to do ?
","wie unterscheidet sich diese geschichte von der anderen ?
",7,8
"and i 'm going to say , "" i 'm going to say , "" i 'm going to say , "" i 'm going to say , ""
","wenn man jemanden gefragt hat : "" wann hast du das letzte mal frische blumen gesehen ? "" dann war die antwort von vielen , die während des aufwuchsen : "" niemals . ""
",28,33
"and how do you do it ?
","sind sie bereit ?
",6,3
"and i 'm going to talk about it , and i 'm going to talk about it .
","darum habe ich zerebralparese , was bedeutet , dass ich die ganze zeit .
",17,13
"and i 'm going to talk about it , and i 'm going to talk about the world , and i 'm going to talk about the world .
","wegen büchern bin ich heute hier , glücklich , wieder mit einem zweck im leben und mit klarem blick , die meiste zeit über .
",28,24
"and i 'm going to do that you 're going to do it .
","du könntest so vorgehen : stelle dir dich vor deiner haustür vor .
",13,12
"but i do n't know that .
","aber diese erklärung ist mir nicht gut genug .
",6,8
"and i 'm going to talk about it , and i 'm going to be able to be able to be <unk> .
","sehen wir uns mal an , warum der roman und die eifersucht , die eifersucht und so gut zusammenpassen .
",22,19
"and i do n't know , but i do n't know that i did .
","leute in den 20ern wie alex und ich hatten nichts als zeit .
",14,12
"and i do n't have to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be . </s> .
","sie dachten daran , für eine ngo zu arbeiten oder für die regierung , aber diese geschichte , seine innovation , hatten einen starken einfluss auf sie .
",39,27
"we do n't do it .
","aber so passiert es nicht .
",5,5
"and he said , "" <unk> . ""
","also keine , keine "" "" .
",7,6
"we can be able to be able to be able to be . </s> .
","sie hatten lösungen für lokale probleme .
",14,6
"and then , i went back to the new york , and i went to the <unk> .
","ich bin , , weiblich , behindert und ich lebe in new jersey .
",17,13
"and they 're trying to do it .
","versuchen sie einmal , diese voraussetzung zu erfüllen .
",7,8
"and i 'm going to talk about what i 'm going to do is what i want to do .
","wissen sie , das beste am sind für mich die filme , die ich schauen kann .
",19,16
"what do you do you know about it ?
","was mag die eifersucht ?
",8,4
"and this is a lot of <unk> , and <unk> .
","durchhaltevermögen ist leidenschaft und ausdauer für sehr langfristige ziele .
",10,9
"now , you 're going to be able to be able to be able to be able to be able to be able to be <unk> .
","eine der techniken hierfür kann 2 500 jahre zurück auf die antiken griechen werden .
",26,14
"he said , "" he said , "" he said , ""
",""" braut "" im chinesischen bedeutet wörtlich übersetzt "" neue mutter "" . .
",11,13
"how do you do you know about it ?
","wer räumt nach uns auf ?
",8,5
"and it 's a very simple , but it 's a lot .
","unser ziel ist also im prinzip nicht sehr schwierig zu erkennen .
",12,11
"and he said , he was a <unk> .
","im raum war ein junger mann , .
",8,7
"you can be able to be able to be able to be able to the <unk> .
","hollywood ist bekannt dafür , körperlich gesunde schauspieler behinderte spielen zu lassen .
",16,12
"and i 'm going to talk about it , and i 'm going to talk about it , and i think that i 'm going to talk about the <unk> , and i think about <unk> .
","um so ein großes projekt durchzuführen , das größte projekt , das ich je entworfen hatte , musste ich die stadt wirklich verstehen , aber auch die umgebung , die tradition und die kultur .
",36,34
"and i 'm going to say , "" i 'm going to see in the world , ""
","ich bin als mit der "" wild "" um die welt gereist .
",17,12
"it 's a <unk> .
","nasa hat sogar schon einen plan entworfen .
",4,7
"you can see it .
","okay . jetzt öffne die augen .
",4,6
"and he said , "" well , "" well , and he said , "" well , "" well , "" well , "" well , "" you know , "" you know , "" </s> . </s> . ""
","sie hatte sich ein gekauft und sie verbrachte den ganzen morgen damit , ihre vielen kontakte , aber dann starrte sie auf die leere stelle , die nach den wörtern kam : "" im notfall sie bitte ... "" .
",39,39
"now , we 're going to be able to be able to be able to be <unk> . </s> .
","wir wissen , dass 80 % der momente , in der zeit bis 35 passieren .
",19,15
"a man in a red shirt is standing in the air with two <unk> .
","an einem schönen tag in , unter himmel geht eine in die luft .
",14,13
"and i do n't know , but i do n't know that they do n't know .
","ich glaube , keiner hat je gemerkt , dass wir keine italiener sind .
",16,13
"and we 're trying to do it , and we 're trying to do it , we 're trying to do it .
","wir arbeiteten also mit ägyptischen wissenschaftlern zusammen , um durchzuführen , was sie hier sehen können .
",22,16
"and we 're going to do , and we 're going to do it .
","denn je wir sind , desto mehr zieht es uns zu fantasien hin .
",14,13
"do you know , right ?
","vertrauen sie ?
",5,2
"and i 'm going to say that i 'm going to say that i 'm going to say that i 'm going to say that i 'm going to be a <unk> .
","deshalb wollte ich mit meinem aus dem mittleren reich schließen – es wurde vielleicht in der stadt von vor jahren geschrieben :
",32,21
"and we do n't have to be able to be able to be able to be able to be able to be able to be <unk> . </s> . </s> .
","wir kümmern uns nicht darum , unseren , unsere tasche oder unsere wasserflasche zu reparieren , zu reinigen , oder .
",30,20
"he said , "" well , ""
","eine sonne mit dem ursprung zusammen bedeutet "" japan "" .
",6,10
"now , you 're going to be able to be able to be able to be able to be able to be <unk> . </s> .
","ideen zu haben begann aber eigentlich schon 1984 v. chr. in einer nicht mehr lange verlorenen stadt , von oben .
",25,20
"so we 're trying to see the <unk> , and we 're trying to the <unk> .
","wir schufen einen wertvollen beitrag , indem wir auf dem dach .
",16,11
"now , i 'm going to be able to be able to be able to be able to be able to be able to be able to be able to be . </s> .
","wir fanden auch beweise für einen für die gesellschaft , was zeigt , dass das hier eine sehr wichtige stadt gewesen sein muss .
",33,23
"and what do you do you do you do you do you do it ? </s> ?
","wer sind diese typen ? was lernen sie ?
",16,8
"and i wanted to do it , and i wanted to do it , and i wanted to do it , and i wanted to do it .
","eine muss sehr früh mit dem beginnen . also habe ich alles versucht , um in die gehen zu können .
",27,20
"and we 're going to do that we 're going to build a new york , and we 're going to build the world .
","wir setzten uns zusammen und machten ein zu lösungen für die größten herausforderungen ihrer stadt .
",24,15
"we 're going to be able to be able to be able to be able to be able to be able to be able to be able to do . </s>
","ein traum ist wirklich nichts im vergleich zu dem , was viele andere durchgemacht haben .
",30,15
"and then , "" well , "" well , "" well , "" <unk> , "" <unk> , "" <unk> , "" <unk> , "" and they 're going to make their <unk> , "" </s> . ""
","mein vorschlag ist also : machen sie junge leute zu unternehmern , veranlassen und fördern sie ihre eigenen innovationen und sie werden mehr geschichten über blumen und "" "" anstatt über und "" "" bekommen .
",37,35
"they do n't have to be able to be able to be able to do it . </s> .
","alle wollen vorbei und häufig passen die autofahrer nicht genug auf .
",18,11
"and i do n't want to do it . </s> .
","meine eltern wollten , dass ich ingenieur wie sie werde .
",10,10
"a group of people are sitting in front of the other side of a building , and one of a <unk> . </s> .
","dort können alle nachbarn und zusammenkommen , und dinge machen , wie einen am morgen , von einem gebäude zum anderen .
",23,21
"and i do n't have to do it .
","zwei frauen , die existieren und miteinander reden , über irgendetwas .
",8,11
"they 're doing . </s> .
","sie besagt , dass
",5,3
"and i do n't know that you do n't have to be able to be able to be able to be able to be able to be able to be able to do it . </s> . </s> .
","sie sind fabelhaft darin , den mädchen beizubringen , wie sie sich gegen das zu setzen können , aber sie zeigen den jungen nicht unbedingt , wie sie sich gegen das wehren sollen .
",38,33
"and i 'm going to be able to be able to be able to the <unk> .
","hier stell dir mit der ganzen leistung deiner vorstellungskraft britney vor .
",16,11
"he was a <unk> , and he was a <unk> , he was a <unk> , he was a <unk> , he was a <unk> .
","eine frau aus michigan wurde festgenommen , weil sie von einem selbst erstellten falschen ein jahr lang , nachrichten an sich selbst geschrieben hatte .
",25,24
"i do n't want to do it to do it .
","ich glaube nicht , dass irgendetwas damit zu tun haben .
",10,10
"and i do n't want to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to help . </s> .
","dies stimmte für sie als sie aufwuchs , aber als 20er würde sie schon bald ihre eigene familie aussuchen , wenn sie sich einen partner und eine eigene familie gründete .
",45,30
"and i do n't have to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able . </s> </s> </s> </s>
","besonders faszinierte mich , dass es eine zeit gab , zu der die vorstellung , das gedächtnis zu trainieren , zu , zu kultivieren , nicht nahezu so fremd wie heute erschien .
",45,32
"i do n't want to do it .
","aber die erwachsenen mochten meine idee nicht .
",7,7
"and i do n't know that i do n't know , but i do n't know , but i do n't know , but i do n't know , but i do n't know .
","ich muss sagen , es ist echt langweilig , aber bevor ich yoga machte , war ich ein stand-up , der noch nicht mal stehen kann .
",34,26
"you can be able to be able to be able to be able to do it . </s> . </s> .
","er sie darin , dass sie unternehmer sein können , dass sie die veränderung vollbringen könnten .
",20,16
"and i 'm going to tell you that you 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to help you . </s> .
","ich weiß aus eigener erfahrung , dass prinzessin nicht das adäquate vorbild , das ich hätte benutzen können , um durch die welt der erwachsenen zu finden , in der mädchen und jungs gemeinsam unterrichtet werden .
",46,36
"so , we 're trying to do , and we 're trying to do , and we 're trying to make a new way we 're trying to build a new way of the planet .
","indem wir das objekt digital programmieren , befreien wir es von den beschränkungen durch raum und zeit , dadurch kann menschliche bewegungen jetzt aufgenommen , wiedergegeben und dauerhaft in der realen welt gelassen werden .
",35,34
